plot_order,LAT,LON,H_LI, FILLED
398,-66.04767,-61.91966,51.91687,54.11493
399,-66.04749,-61.91961,51.94042,54.11493
400,-66.04731,-61.91956,51.93365,54.11493
401,-66.04713,-61.91951,51.92836,54.11493
402,-66.04696,-61.91946,51.94076,54.11493
403,-66.04678,-61.91942,51.94787,54.11493
404,-66.0466,-61.91937,51.9426,54.11493
405,-66.04642,-61.91932,51.94593,54.11493
406,-66.04625,-61.91927,51.94472,54.11493
407,-66.04607,-61.91922,51.94467,54.11493
408,-66.04589,-61.91917,51.9532,54.11493
409,-66.04571,-61.91912,51.94415,54.11493
410,-66.04554,-61.91907,51.9285,54.11493
411,-66.04536,-61.91902,51.96334,54.11493
412,-66.04518,-61.91897,51.9729,54.11493
413,-66.045,-61.91892,51.96535,54.11493
414,-66.04483,-61.91887,51.95686,54.11493
415,-66.04465,-61.91882,51.95097,54.11493
416,-66.04447,-61.91877,51.93962,54.11493
417,-66.04429,-61.91872,51.9317,54.11493
418,-66.04412,-61.91867,51.95192,54.11493
419,-66.04394,-61.91862,51.96152,54.11493
420,-66.04376,-61.91857,51.96371,54.11493
421,-66.04359,-61.91852,51.9677,54.11493
422,-66.04341,-61.91847,51.96355,54.11493
423,-66.04323,-61.91842,51.93893,54.11493
424,-66.04305,-61.91837,51.92449,54.11493
425,-66.04288,-61.91832,51.9285,54.11493
426,-66.0427,-61.91827,51.93429,54.11493
427,-66.04252,-61.91822,51.94334,54.11493
428,-66.04234,-61.91817,51.92812,54.11493
429,-66.04217,-61.91812,51.93483,54.11493
430,-66.04199,-61.91807,51.96929,54.11493
431,-66.04181,-61.91802,51.96309,54.11493
432,-66.04163,-61.91797,51.92831,54.11493
433,-66.04146,-61.91792,51.91241,54.11493
434,-66.04128,-61.91787,51.92139,54.11493
435,-66.0411,-61.91783,51.91358,54.11493
436,-66.04092,-61.91778,51.89674,54.11493
437,-66.04075,-61.91773,51.89265,54.11493
438,-66.04057,-61.91768,51.90565,54.11493
439,-66.04039,-61.91763,51.9161,54.11493
440,-66.04021,-61.91758,51.93552,54.11493
441,-66.04004,-61.91753,51.94075,54.11493
442,-66.03986,-61.91748,51.92175,54.11493
443,-66.03968,-61.91743,51.91243,54.11493
444,-66.0395,-61.91738,51.90985,54.11493
445,-66.03933,-61.91733,51.88668,54.11493
446,-66.03915,-61.91728,51.84819,54.11493
447,-66.03897,-61.91723,51.83952,54.11493
448,-66.03879,-61.91718,51.8318,54.11493
449,-66.03862,-61.91713,51.82429,54.11493
450,-66.03844,-61.91708,51.84926,54.11493
451,-66.03826,-61.91703,51.8548,54.11493
452,-66.03808,-61.91698,51.85815,54.11493
453,-66.03791,-61.91694,51.85255,54.11493
454,-66.03773,-61.91689,51.83463,54.11493
455,-66.03755,-61.91684,51.85217,54.11493
456,-66.03737,-61.91679,51.85104,54.11493
457,-66.0372,-61.91674,51.83176,54.11493
458,-66.03702,-61.91669,51.84105,54.11493
459,-66.03684,-61.91664,51.82672,54.11493
460,-66.03666,-61.91659,51.82077,54.11493
461,-66.03649,-61.91654,51.83355,54.11493
462,-66.03631,-61.91649,51.82111,54.11493
463,-66.03613,-61.91644,51.79967,54.11493
464,-66.03595,-61.91639,51.79688,54.11493
465,-66.03578,-61.91634,51.78088,54.11493
466,-66.0356,-61.91629,51.75668,54.11493
467,-66.03542,-61.91623,51.74978,54.11493
468,-66.03524,-61.91618,51.77149,54.11493
469,-66.03507,-61.91613,51.77693,54.11493
470,-66.03489,-61.91608,51.78591,54.11493
471,-66.03471,-61.91603,51.80006,54.11493
