plot_order,LAT,LON,H_LI,LEVEL-1
325,-66.11244,-61.9379,42.07742,42.07742
326,-66.11226,-61.93785,42.25246,42.25246
327,-66.11209,-61.9378,42.41101,42.41101
328,-66.11191,-61.93775,42.56626,42.56626
329,-66.11173,-61.9377,42.71295,42.71295
330,-66.11155,-61.93765,42.88794,42.88794
331,-66.11138,-61.93761,43.05019,43.05019
332,-66.1112,-61.93755,43.2451,43.2451
333,-66.11102,-61.9375,43.43328,43.43328
334,-66.11084,-61.93745,43.59057,43.59057
335,-66.11067,-61.9374,43.76492,43.76492
336,-66.11049,-61.93735,43.93939,43.93939
337,-66.11031,-61.93729,44.11852,44.11852
338,-66.11013,-61.93724,44.31675,44.31675
339,-66.10996,-61.93719,44.51305,44.51305
340,-66.10978,-61.93714,44.69617,44.69617
341,-66.1096,-61.93709,44.89389,44.89389
342,-66.10942,-61.93704,45.10892,45.10892
343,-66.10925,-61.937,45.33958,45.33958
344,-66.10907,-61.93695,45.55879,45.55879
345,-66.10889,-61.9369,45.76353,45.76353
346,-66.10871,-61.93685,45.98906,45.98906
347,-66.10854,-61.9368,46.21619,46.21619
348,-66.10836,-61.93675,46.44088,46.44088
349,-66.10818,-61.9367,46.67654,46.67654
350,-66.108,-61.93665,46.92508,46.92508
351,-66.10783,-61.9366,47.17609,47.17609
352,-66.10765,-61.93655,47.40757,47.40757
353,-66.10747,-61.9365,47.66013,47.66013
354,-66.10729,-61.93645,47.90749,47.90749
355,-66.10712,-61.9364,48.1576,48.1576
356,-66.10694,-61.93635,48.41875,48.41875
357,-66.10676,-61.9363,48.67218,48.67218
358,-66.10658,-61.93625,48.91539,48.91539
359,-66.10641,-61.9362,49.14131,49.14131
360,-66.10623,-61.93615,49.36188,49.36188
361,-66.10605,-61.9361,49.56922,49.56922
362,-66.10587,-61.93605,49.76824,49.76824
363,-66.1057,-61.936,49.98958,49.98958
364,-66.10552,-61.93595,50.225,50.225
365,-66.10534,-61.9359,50.4318,50.4318
366,-66.10517,-61.93585,50.61882,50.61882
367,-66.10499,-61.9358,50.79578,50.79578
368,-66.10481,-61.93575,50.9832,50.9832
369,-66.10463,-61.9357,51.16315,51.16315
370,-66.10446,-61.93565,51.30134,51.30134
371,-66.10428,-61.93561,51.4354,51.4354
372,-66.1041,-61.93556,51.58389,51.58389
373,-66.10392,-61.9355,51.72038,51.72038
374,-66.10375,-61.93545,51.81878,51.81878
375,-66.10357,-61.9354,51.90961,51.90961
376,-66.10339,-61.93535,52.01212,52.01212
377,-66.10321,-61.9353,52.12293,52.12293
378,-66.10304,-61.93525,52.22532,52.22532
379,-66.10286,-61.9352,52.31097,52.31097
380,-66.10268,-61.93515,52.39634,52.39634
381,-66.1025,-61.9351,52.49393,52.49393
382,-66.10233,-61.93505,52.57483,52.57483
383,-66.10215,-61.935,52.62125,52.62125
384,-66.10197,-61.93495,52.68748,52.68748
385,-66.10179,-61.9349,52.78502,52.78502
386,-66.10162,-61.93485,52.85038,52.85038
387,-66.10144,-61.9348,52.89322,52.89322
388,-66.10126,-61.93475,52.94607,52.94607
389,-66.10108,-61.9347,53.00723,53.00723
390,-66.10091,-61.93465,53.06079,53.06079
391,-66.10073,-61.9346,53.11148,53.11148
392,-66.10055,-61.93455,53.15044,53.15044
393,-66.10037,-61.93451,53.20732,53.20732
394,-66.1002,-61.93446,53.2564,53.2564
395,-66.10002,-61.93441,53.29491,53.29491
396,-66.09984,-61.93436,53.33462,53.33462
397,-66.09966,-61.93431,53.38136,53.38136
398,-66.09949,-61.93425,53.44041,53.44041
399,-66.09931,-61.9342,53.50597,53.50597
400,-66.09913,-61.93415,53.51336,53.51336
401,-66.09895,-61.9341,53.51749,53.51749
402,-66.09878,-61.93405,53.5617,53.5617
403,-66.0986,-61.93399,53.60637,53.60637
404,-66.09842,-61.93394,53.63708,53.63708
405,-66.09824,-61.93389,53.66294,53.66294
406,-66.09807,-61.93384,53.68089,53.68089
407,-66.09789,-61.93379,53.68426,53.68426
408,-66.09771,-61.93374,53.69278,53.69278
409,-66.09753,-61.93369,53.71935,53.71935
410,-66.09736,-61.93364,53.75455,53.75455
411,-66.09718,-61.93359,53.7915,53.7915
412,-66.097,-61.93354,53.81192,53.81192
413,-66.09682,-61.9335,53.80237,53.80237
414,-66.09665,-61.93345,53.81636,53.81636
415,-66.09647,-61.9334,53.84745,53.84745
416,-66.09629,-61.93335,53.86978,53.86978
417,-66.09611,-61.9333,53.88463,53.88463
418,-66.09594,-61.93325,53.89505,53.89505
419,-66.09576,-61.9332,53.91681,53.91681
420,-66.09558,-61.93315,53.95638,53.95638
421,-66.0954,-61.9331,53.98002,53.98002
422,-66.09523,-61.93305,54.00269,54.00269
423,-66.09505,-61.933,54.02533,54.02533
424,-66.09487,-61.93295,54.03036,54.03036
425,-66.0947,-61.9329,54.01432,54.01432
426,-66.09452,-61.93284,54.01101,54.01101
427,-66.09434,-61.93279,54.00468,54.00468
428,-66.09416,-61.93274,54.00326,54.00326
429,-66.09399,-61.93269,53.99947,53.99947
430,-66.09381,-61.93264,54.00579,54.00579
431,-66.09363,-61.93259,53.98962,53.98962
432,-66.09345,-61.93254,53.98402,53.98402
433,-66.09328,-61.93249,53.97247,53.97247
434,-66.0931,-61.93244,53.95181,53.95181
435,-66.09292,-61.93239,53.95551,53.95551
436,-66.09274,-61.93234,53.93837,53.93837
437,-66.09257,-61.93229,53.9134,53.9134
438,-66.09239,-61.93224,53.89503,53.89503
439,-66.09221,-61.93219,53.87655,53.87655
440,-66.09203,-61.93214,53.85716,53.85716
441,-66.09186,-61.93209,53.85752,53.85752
442,-66.09168,-61.93204,53.86778,53.86778
443,-66.0915,-61.93199,53.86978,53.86978
444,-66.09132,-61.93195,53.84919,53.84919
445,-66.09115,-61.9319,53.84648,53.84648
446,-66.09097,-61.93185,53.85012,53.85012
447,-66.09079,-61.9318,53.83227,53.83227
448,-66.09061,-61.93175,53.84048,53.84048
449,-66.09044,-61.9317,53.86019,53.86019
450,-66.09026,-61.93165,53.87642,53.87642
451,-66.09008,-61.9316,53.88675,53.88675
452,-66.0899,-61.93154,53.89697,53.89697
453,-66.08973,-61.93149,53.91359,53.91359
454,-66.08955,-61.93144,53.94014,53.94014
455,-66.08937,-61.93139,53.95027,53.95027
456,-66.08919,-61.93134,53.9523,53.9523
457,-66.08902,-61.93129,53.98485,53.98485
458,-66.08884,-61.93124,54.03302,54.03302
459,-66.08866,-61.93119,54.05575,54.05575
460,-66.08848,-61.93114,54.0343,54.0343
461,-66.08831,-61.93109,54.0189,54.0189
462,-66.08813,-61.93104,54.0403,54.0403
463,-66.08795,-61.93099,54.08197,54.08197
464,-66.08777,-61.93094,54.10479,54.10479
465,-66.0876,-61.93089,54.08347,54.08347
466,-66.08742,-61.93084,54.05909,54.05909
467,-66.08724,-61.93079,54.03959,54.03959
468,-66.08706,-61.93074,54.03418,54.03418
469,-66.08689,-61.93069,54.04356,54.04356
470,-66.08671,-61.93064,54.03408,54.03408
471,-66.08653,-61.9306,54.0131,54.0131
472,-66.08635,-61.93055,54.01414,54.01414
473,-66.08618,-61.9305,54.03065,54.03065
474,-66.086,-61.93045,54.01363,54.01363
475,-66.08582,-61.93039,53.98719,53.98719
476,-66.08564,-61.93034,53.96747,53.96747
477,-66.08547,-61.93029,53.94538,53.94538
478,-66.08529,-61.93024,53.9268,53.9268
479,-66.08511,-61.93018,53.92907,53.92907
480,-66.08494,-61.93013,53.90081,53.90081
481,-66.08476,-61.93008,53.88564,53.88564
482,-66.08458,-61.93003,53.88964,53.88964
483,-66.0844,-61.92998,53.89469,53.89469
484,-66.08423,-61.92993,53.90272,53.90272
485,-66.08405,-61.92988,53.89558,53.89558
